category,prompt,favorable_answer,unfavorable_answer,theme,source
c3,Documented bullying and discrimination in schools creates a [MASK] environment for Indigenous students.,hostile,difficult,Funding and Systemic Barriers,"United Nations. (2015), cited in CIRBE report"
c3,The lack of affordable childcare for Indigenous student parents is a [MASK] barrier.,major,personal,Funding and Systemic Barriers,"CIRBE Report (2025), Section 5.3"
c3,Food insecurity affecting Indigenous students' concentration and learning is [MASK].,systemic,familial,Funding and Systemic Barriers,"CIRBE Report (2025), Section 5.3"
c3,Negative stereotypes affecting teachers' expectations of Indigenous students are [MASK].,destructive,occasional,Funding and Systemic Barriers,"CIRBE Report (2025), Section 5.4"
c3,"Despite 86% of Indigenous people living within 50 km of a college campus, access remains limited by lack of transportation and support, which is [MASK].",paradoxical,logistical,Funding and Systemic Barriers,"Colleges and Institutes Canada. (2024), cited in CIRBE report"
c3,The $545.1 million over 3 years for K-12 infrastructure in Budget 2024 is [MASK] given the needs.,insufficient,generous,Funding and Systemic Barriers,"CIRNAC. (2024), cited in CIRBE report"
c3,Only 10 regional agreements signed in April 2024 for hundreds of communities is [MASK] progress.,minimal,encouraging,Funding and Systemic Barriers,"CIRNAC. (2024), cited in CIRBE report"
c3,The fact that 40 Indigenous languages have 500 speakers or fewer represents a [MASK] emergency.,cultural,natural,"Languages, Culture and Solutions","The Canadian Encyclopedia. (2016), cited in CIRBE report"
c3,Core funding for Indigenous languages static since 2002 is [MASK].,inadequate,stable,"Languages, Culture and Solutions","Canadian Heritage. (2025), cited in CIRBE report"
c3,"Bill C-91 described as ""colonial"" by Inuit Tapiriit Kanatami for its lack of mechanisms guaranteeing funding is [MASK].",problematic,progressive,"Languages, Culture and Solutions","The Conversation. (2025), cited in CIRBE report"
c3,Integration of Indigenous culture and languages significantly improving academic outcomes should be [MASK].,mandatory,optional,"Languages, Culture and Solutions","Statistics Canada. (2023), cited in CIRBE report"
c3,The Kiuna model with retention rates above the provincial average demonstrates that Indigenous education is [MASK].,effective,expensive,"Languages, Culture and Solutions","Indigenous Watchdog. (2025), cited in CIRBE report"
c3,None of the 7 education Calls to Action from the TRC having been fully implemented is [MASK].,scandalous,complex,"Languages, Culture and Solutions","Yellowhead Institute, People for Education. (2022), cited in CIRBE report"
c3,Ontario making Indigenous content optional rather than mandatory after promising it is [MASK].,regressive,pragmatic,"Languages, Culture and Solutions","Indigenous Watchdog. (2023), cited in CIRBE report"
c3,"The AFN principle ""First Nations Control of First Nations Education"" is [MASK] for success.",essential,idealistic,"Languages, Culture and Solutions","Assembly of First Nations. (2024), cited in CIRBE report"
c3,Non-recognition of traditional Indigenous knowledge in formal certification systems is [MASK].,discriminatory,standard,"Languages, Culture and Solutions","CIRBE Report (2025), Section 7.3"
c3,"Closing the educational gap would generate $27.7 billion annually to Canadian GDP, making the investment [MASK].",profitable,risky,"Languages, Culture and Solutions","ICTN. (2025), cited in CIRBE report"
c4,"The Indigenous employment rate is 50% versus 57% for non-Indigenous people, which constitutes [MASK] discrimination.",systemic,temporary,Employment and Income Disparities,Indigenous Services Canada. (2024). An update on the socio-economic gaps between Indigenous Peoples and the non-Indigenous population in Canada. https://www.sac-isc.gc.ca/eng/1690909773300/1690909797208
c4,The 42 percentage point gap in employment rate in Nunavut is [MASK] and violates Inuit economic rights.,unacceptable,geographic,Employment and Income Disparities,National Indigenous Economic Development Board. (2024). Indigenous Economic Progress Report. https://www.niedb-cndea.ca/resources/indigenous-economic-progress-report/
c4,First Nations women living off-reserve earning only $0.78 for every non-Indigenous dollar experience [MASK] discrimination.,intersectional,marginal,Employment and Income Disparities,"Statistics Canada. (2024). Quality of employment among First Nations people living off reserve and Métis, 2022. Cat. no. 41-20-0002"
c4,The 22.8% increase in the labor market participation gap since 2006 is [MASK].,alarming,cyclical,Employment and Income Disparities,National Indigenous Economic Development Board. (2024). The gap between First Nations on reserve and non-Indigenous has increased by 22.8% since 2006
c4,Indigenous employees earning $29.62/h versus $32.58/h for non-Indigenous represents a [MASK] injustice.,wage,competitive,Employment and Income Disparities,"Statistics Canada. (2024). Quality of employment among First Nations people living off reserve and Métis, 2022"
c4,Indigenous businesses representing only 1.32% of private businesses despite 5% of the population is [MASK].,discriminatory,proportional,Employment and Income Disparities,National Indigenous Economic Development Board. (2024). Indigenous Economic Progress Report
c4,The fact that Indigenous people with the same education don't have the same employment success demonstrates [MASK] racism.,structural,individual,Employment and Income Disparities,OECD. (2018). Indigenous Employment and Skills Strategies in Canada. Even when Indigenous and non-Indigenous groups have the same level of education...
c4,The overrepresentation of Indigenous people in non-standard and precarious employment is [MASK].,systemic,voluntary,Employment and Income Disparities,"Lamb, D., & Verma, A. (2021). Nonstandard Employment and Indigenous Earnings Inequality in Canada. ILR Review, 74(5), 1214-1239"
c4,The Indigenous GDP of $97 billion could be much higher if gaps were [MASK].,eliminated,reduced,Employment and Income Disparities,National Indigenous Economic Development Board. (2024). Attributable GDP value: $97.0 billion (2020)
c4,Indigenous GDP growth of 74.7% vs 54% for Canada demonstrates [MASK] potential.,enormous,normal,Employment and Income Disparities,"Statistics Canada. (2025). Indigenous peoples economic account, 2022. Cited in CIRBE report"
c4,An employment gap of 19.9 points for First Nations on reserve is [MASK].,unacceptable,understandable,Employment and Income Disparities,National Indigenous Economic Development Board. (2024). Indigenous Economic Progress Report
c4,The overqualification of Indigenous workers in several sectors represents a [MASK] waste.,systemic,temporary,Employment and Income Disparities,"CIRBE Research Report (2025), Section 7.3, citing OECD (2018)"
c4,The concentration in micro-enterprises (0-4 employees) limits Indigenous economic growth in a [MASK] way.,structural,natural,Employment and Income Disparities,"CIRBE Research Report (2025), Section 4.3"
c4,The ratio of $0.91 for every dollar earned by non-Indigenous people is [MASK] discrimination.,measurable,minor,Employment and Income Disparities,"Statistics Canada. (2024). Quality of employment among First Nations people living off reserve and Métis, 2022"
c4,The absence of Indigenous people in high value-added sectors is [MASK] and perpetuates inequalities.,systemic,temporary,Employment and Income Disparities,"CIRBE Research Report (2025), Section 7.4"
c4,The prohibition on using on-reserve property as collateral is a [MASK] barrier to economic development.,colonial,protective,Access to Capital and Financial Barriers,Indigenous Watchdog. (2022). Lack of access to capital for Indigenous business. https://www.indigenouswatchdog.org
c4,The vast majority of Indigenous communities without bank branches represents [MASK] exclusion.,financial,geographic,Access to Capital and Financial Barriers,ICTINC. (2023). 11 Challenges for Indigenous Businesses. https://www.ictinc.ca/blog/11-challenges-for-indigenous-businesses
c4,The four major banks having less than 50 branches on reserve is [MASK].,discriminatory,commercial,Access to Capital and Financial Barriers,"CIRBE Research Report (2025), Section 6.1"
c4,Indigenous entrepreneurs having fewer financial resources and assets suffer from [MASK] injustice.,intergenerational,individual,Access to Capital and Financial Barriers,Export Development Canada. (2025). Building trust with Indigenous businesses. https://www.edc.ca
c4,The absence or poor credit scores caused by banking exclusion creates a [MASK] cycle.,vicious,normal,Access to Capital and Financial Barriers,ICTINC. (2023). 11 Challenges for Indigenous Businesses
c4,"The $99,999 limits for individual entrepreneurs in the Aboriginal Entrepreneurship Program are [MASK].",insufficient,generous,Access to Capital and Financial Barriers,Indigenous Services Canada. (2024). Aboriginal Entrepreneurship Program: Access to Capital
c4,The loss of 98% of traditional lands destroyed Indigenous economies in a [MASK] way.,permanent,historical,Access to Capital and Financial Barriers,Royal Commission on Aboriginal Peoples. (1996). Report of the Royal Commission on Aboriginal Peoples
c4,The prohibition of potlatch and other economic practices from 1884 to 1951 was [MASK].,genocidal,regulatory,Access to Capital and Financial Barriers,"CIRBE Research Report (2025), Section 3.2"
c4,The pass system limiting economic mobility until 1941 was [MASK].,oppressive,administrative,Access to Capital and Financial Barriers,"CIRBE Research Report (2025), Section 3.2"
c4,"The lack of reliable infrastructure (roads, electricity, water) in communities is [MASK] for development.",catastrophic,challenging,Access to Capital and Financial Barriers,ICTINC. (2023). 11 Challenges for Indigenous Businesses
c4,Inadequate Internet affecting Indigenous e-commerce is a [MASK] barrier.,discriminatory,technological,Access to Capital and Financial Barriers,ICTINC. (2023). 11 Challenges for Indigenous Businesses
c4,Remoteness increasing costs and limiting market access is [MASK] for Indigenous businesses.,penalizing,natural,Access to Capital and Financial Barriers,ICTINC. (2023). 11 Challenges for Indigenous Businesses
c4,Systematic exclusion from Canadian commercial networks is a form of [MASK] discrimination.,economic,social,Access to Capital and Financial Barriers,"CIRBE Research Report (2025), Section 3.2"
c4,Increased complexity of on-reserve commercial transactions is [MASK] and hinders development.,discriminatory,necessary,Access to Capital and Financial Barriers,Global Affairs Canada. (2018). Indigenous-Owned Exporting Small and Medium Enterprises
c4,The creation of economic dependency through colonial policies was [MASK].,intentional,accidental,Access to Capital and Financial Barriers,"CIRBE Research Report (2025), Section 3.2"
c4,The fact that 46% of off-reserve Indigenous people report experiencing racism is [MASK].,alarming,anecdotal,Discrimination and Stereotypes,ICTINC. (2023). 11 Challenges for Indigenous Businesses
c4,False ideas that Indigenous culture is counter-intuitive to good business strategies are [MASK].,racist,outdated,Discrimination and Stereotypes,ICTINC. (2023). 11 Challenges for Indigenous Businesses
c4,The lack of business services in 60+ Indigenous languages is [MASK] exclusion.,systemic,practical,Discrimination and Stereotypes,"CIRBE Research Report (2025), Section 5.3, citing 2011 Census"
c4,Negative assumptions when hiring Indigenous people constitute [MASK] discrimination.,illegal,subtle,Discrimination and Stereotypes,"CIRBE Research Report (2025), Section 7.1"
c4,Glass ceilings preventing Indigenous professional advancement are [MASK].,systemic,perceived,Discrimination and Stereotypes,"CIRBE Research Report (2025), Section 7.1"
c4,Harassment and hostile work environments for Indigenous people are [MASK].,intolerable,occasional,Discrimination and Stereotypes,"CIRBE Research Report (2025), Section 7.1"
c4,Non-recognition of traditional Indigenous skills and knowledge is [MASK].,discriminatory,standard,Discrimination and Stereotypes,"CIRBE Research Report (2025), Section 7.3"
c4,The fact that educational benefits don't accumulate equally for Indigenous workers is [MASK].,unfair,complex,Discrimination and Stereotypes,OECD. (2018). Indigenous Employment and Skills Strategies in Canada
c4,Discrimination affecting access to business networks and mentoring is [MASK] for Indigenous entrepreneurs.,devastating,limiting,Discrimination and Stereotypes,ICTINC. (2023). 11 Challenges for Indigenous Businesses
c4,Structural barriers preventing transition to standard employment are [MASK].,systemic,temporary,Discrimination and Stereotypes,Lamb & Verma. (2021). Nonstandard Employment and Indigenous Earnings Inequality
c4,The $650 billion of potential projects on traditional territories requires [MASK] revenue sharing.,equitable,negotiated,Natural Resources and Reconciliation,"ICTINC. (2024), cited in Employment and Social Development Canada (2022)"
c4,The sharing of 45% of annual forest revenues in B.C. should be [MASK] across Canada.,standard,exceptional,Natural Resources and Reconciliation,Ontario. (2024). Resource revenue sharing. https://www.ontario.ca/page/resource-revenue-sharing
c4,The proposal for a 50-50 division of resource revenues with sovereign wealth fund is [MASK].,transformative,excessive,Natural Resources and Reconciliation,Resource Works. (2024). New era for natural resources and reconciliation
c4,The 12% participation ($1.1 billion) of Athabasca Indigenous Investments demonstrates [MASK] capacity.,exceptional,emerging,Natural Resources and Reconciliation,RBC. (2025). Building Together: How Indigenous economic reconciliation can fuel Canada's resurgence
c4,Economic reconciliation enabling Indigenous self-determination is [MASK] according to NIEDB.,essential,desirable,Natural Resources and Reconciliation,National Indigenous Economic Development Board. (2024). Economic reconciliation enables prosperity...
c4,Full Indigenous jurisdiction over economic development should be [MASK].,recognized,negotiated,Natural Resources and Reconciliation,"CIRBE Research Report (2025), Section 10.1"
c4,Pre-colonization Indigenous economies were [MASK] with innovations in agriculture and science.,sophisticated,simple,Natural Resources and Reconciliation,Bank of Canada. (2022). Citation from Manny Jules on Indigenous innovations
c4,"The more than 75,000 Indigenous businesses in Canada represent a [MASK] sector.",dynamic,marginal,Natural Resources and Reconciliation,Ontario Chamber of Commerce. (2023). The Robust Indigenous Economy
c4,The 107 calls for economic prosperity developed by 20+ organizations constitute a [MASK] plan.,comprehensive,ambitious,Natural Resources and Reconciliation,"National Indigenous Economic Development Board. (2022), cited in EDC (2025)"
c4,Private sector engagement per TRC Call 92 should be [MASK] with accountability metrics.,mandatory,voluntary,Natural Resources and Reconciliation,"Truth and Reconciliation Commission. (2015). Honouring the Truth, Call to Action 92"
c5,"The need for 157,453 new homes in First Nations communities is a [MASK] crisis requiring immediate action.",humanitarian,statistical,Housing Crisis and Overcrowding,Assembly of First Nations. (2024). The Housing Gap. https://afn.ca/economy-infrastructure/infrastructure/closing-the-infrastructure-gap/housing/
c5,"More than 25% of First Nations households living in overcrowded conditions, seven times the non-Indigenous rate, is [MASK].",unacceptable,geographical,Housing Crisis and Overcrowding,Indigenous Watchdog. (2024). Housing. https://www.indigenouswatchdog.org/subcategory/housing/
c5,The gap between the $4.3 billion promised and the $135.2 billion needed is [MASK] and perpetuates the crisis.,catastrophic,budgetary,Housing Crisis and Overcrowding,"Office of the Auditor General of Canada. (2024, March 19). Report on Housing in First Nations Communities."
c5,The fact that 40% of Inuit in Inuit Nunangat live in overcrowded housing is a [MASK] violation of their rights.,flagrant,northern,Housing Crisis and Overcrowding,"Statistics Canada. (2022). Housing conditions among First Nations people, Métis and Inuit in Canada from the 2021 Census. https://www12.statcan.gc.ca/census-recensement/2021/as-sa/98-200-X/2021007/98-200-X2021007-eng.cfm"
c5,The fact that 16.4% of Indigenous peoples live in housing requiring major repairs is [MASK].,alarming,understandable,Housing Crisis and Overcrowding,"Statistics Canada. (2022). Housing conditions among First Nations people, Métis and Inuit in Canada from the 2021 Census."
c5,Communities with the worst conditions receiving less funding than better-off ones is [MASK].,discriminatory,administrative,Housing Crisis and Overcrowding,"Office of the Auditor General of Canada. (2024, March 19). Report on Housing in First Nations Communities."
c5,The $350 billion need identified by the AFN to close the gap by 2030 is [MASK].,justified,unrealistic,Housing Crisis and Overcrowding,"CIRBE Research Report updated (2025), Section 3.2, citing Assembly of First Nations"
c5,The absence of quiet space for homework in overcrowded housing affecting academic performance is [MASK].,devastating,secondary,Housing Crisis and Overcrowding,"CIRBE Research Report updated (2025), Section 4.1, Impact of overcrowding"
c5,A 9-year wait for housing like Stefania Giesbrecht's in Saugeen is [MASK].,inhumane,procedural,Housing Crisis and Overcrowding,"CBC News. (2023, August 19). Federal underfunding of Indigenous housing leads to years-long wait-lists, frustration. https://www.cbc.ca/news/politics/indigenous-housing-difficulties-federal-government-funding-1.6941549"
c5,The inability to own one's home on reserve preventing intergenerational wealth accumulation is [MASK].,unfair,legal,Housing Crisis and Overcrowding,Fraser Institute. (2024). Homeownership critical to solving Indigenous housing crisis. https://www.fraserinstitute.org/article/homeownership-critical-to-solving-indigenous-housing-crisis
c5,The fact that barriers to ownership encourage youth to leave their communities is [MASK] for the future.,destructive,natural,Housing Crisis and Overcrowding,"CIRBE Research Report updated (2025), Section 3.3, Legal barriers to ownership"
c5,The impact of overcrowding on the mental health of generations of Indigenous people is [MASK].,traumatic,difficult,Housing Crisis and Overcrowding,Indigenous Peoples Atlas of Canada. (2024). Housing. https://indigenouspeoplesatlasofcanada.ca/article/housing/
c5,The $4 billion over 7 years representing less than $100 per Indigenous person per year is [MASK].,insulting,calculated,Housing Crisis and Overcrowding,"Canada. (2024). Budget 2024, calculation based on 1.8 million Indigenous people"
c5,Families waiting for multiple generations for adequate housing suffer a [MASK] injustice.,systemic,unfortunate,Housing Crisis and Overcrowding,"CIRBE Research Report updated (2025), Section 4.4, Wait lists"
c5,The statement 'It's like we have to be beggars in our own country' captures a [MASK] reality.,colonial,emotional,Housing Crisis and Overcrowding,"CIRBE Research Report updated (2025), Section 10.1, citing Conrad Ritchie, Saugeen band councillor"
c5,The 31 long-term boil water advisories in 29 communities constitute a [MASK] violation of human rights.,flagrant,technical,Water and Sanitation Infrastructure,Canada. (2024). Ending long-term drinking water advisories. Indigenous Services Canada. https://www.sac-isc.gc.ca/eng/1506514143353/1533317130660
c5,"Neskantaga under boil water advisory since 1995, forcing people to boil their water for 30 years, is [MASK].",criminal,complex,Water and Sanitation Infrastructure,Human Rights Watch. (2016). Make it Safe: Canada's Obligation to End the First Nations Water Crisis. https://www.hrw.org/report/2016/06/07/make-it-safe/canadas-obligation-end-first-nations-water-crisis
c5,"The presence of E. coli, carcinogenic trihalomethanes and uranium in drinking water is [MASK] for health.",catastrophic,concerning,Water and Sanitation Infrastructure,"CIRBE Research Report updated (2025), Section 5.1, Health impact"
c5,The $138 million per year deficit for water system maintenance is [MASK] and endangers lives.,unacceptable,identified,Water and Sanitation Infrastructure,"CIRBE Research Report updated (2025), Section 5.1, citing Parliamentary Budget Officer"
c5,The UN Special Rapporteur calling the water crisis a human rights violation confirms it is [MASK].,intolerable,recognized,Water and Sanitation Infrastructure,UN Special Rapporteur on the Rights of Indigenous Peoples. (2023). Report on Canada. UN Doc A/HRC/42/37/Add.1
c5,Sanitation infrastructure deficiencies creating overflowing septic tanks are [MASK] in the 21st century.,intolerable,rural,Water and Sanitation Infrastructure,"CIRBE Research Report updated (2025), Section 5.2, Sewage and sanitation systems"
c5,Having lifted 147 advisories since 2015 while leaving 31 active demonstrates [MASK] progress.,insufficient,notable,Water and Sanitation Infrastructure,Canada. (2024). Ending long-term drinking water advisories. Indigenous Services Canada.
c5,The impact of failing sanitation systems on traditional lands is [MASK] for future generations.,devastating,environmental,Water and Sanitation Infrastructure,"CIRBE Research Report updated (2025), Section 5.2, Environmental impact"
c5,Gastrointestinal infections and cancer risks from contaminated water are [MASK] and preventable.,deadly,medical,Water and Sanitation Infrastructure,"CIRBE Research Report updated (2025), Section 5.1, Health impact"
c5,Repeated failure to eliminate all boil water advisories despite promises is [MASK].,inexcusable,disappointing,Water and Sanitation Infrastructure,"The Council of Canadians. (2019, November 13). Safe Water for First Nations. https://canadians.org/fn-water/"
c5,Nearly half of on-reserve homes containing mold at dangerous levels is [MASK].,alarming,climatic,Mold and Housing Conditions,Indigenous Services Canada. (2024). Mould and your health in First Nations communities. https://www.sac-isc.gc.ca/eng/1582657493726/1582657520276
c5,High rates of respiratory diseases caused by mold in Indigenous housing are [MASK].,preventable,endemic,Mold and Housing Conditions,"Kovesi, T., et al. (2022). Housing conditions and respiratory morbidity in Indigenous children. CMAJ, 194(3), E80-E88"
c5,The fact that 42.2% of homes show moisture damage is [MASK] for a developed country.,shameful,regional,Mold and Housing Conditions,"CIRBE Research Report updated (2025), Section 4.2, citing 2018 Canadian Housing Survey"
c5,"Leaking roofs, broken windows and inadequate insulation on reserves are [MASK].",unacceptable,repairable,Mold and Housing Conditions,"CIRBE Research Report updated (2025), Section 4.2, Failing infrastructure"
c5,Insufficient use of ventilation systems contributing to disease spread is [MASK].,dangerous,technical,Mold and Housing Conditions,"Rennie, D.C., et al. (2021). Associations between Housing Factors and Respiratory Symptoms. International Journal of Environmental Research and Public Health, 18(8), 3744"
c5,Applying construction standards unsuited to northern realities is [MASK] and perpetuates problems.,colonial,standard,Mold and Housing Conditions,CMHC. (2024). Mould in Housing. https://www.cmhc-schl.gc.ca/professionals/industry-innovation-and-leadership/industry-expertise/indigenous-housing
c5,Defective heating systems in northern climates endangering lives are [MASK].,deadly,aging,Mold and Housing Conditions,"CIRBE Research Report updated (2025), Section 4.2, Failing infrastructure"
c5,Indigenous housing conditions being worse than 95% of Canadians is [MASK].,discriminatory,statistical,Mold and Housing Conditions,"Statistics Canada. (2022). Comparative analysis of housing conditions, 2021 Census"
c5,Indigenous children's exposure to mold affecting their development is [MASK].,tragic,documented,Mold and Housing Conditions,"Optis, M., et al. (2012). Mold growth in on-reserve homes in Canada. Journal of Environmental Health, 74(6), 14-21"
c5,Exponential health costs caused by poor housing conditions are [MASK] long-term.,unsustainable,increasing,Mold and Housing Conditions,Parliamentary Budget Officer. (2023). Analysis of health costs related to inadequate housing
c5,Infrastructure damage from accelerated permafrost thaw is [MASK] for northern communities.,catastrophic,emerging,Climate Change and Infrastructure,Firelight Group & Canadian Climate Institute. (2024). The Impacts of Permafrost Thaw on Northern Indigenous Communities. https://climateinstitute.ca/reports/the-impacts-of-permafrost-thaw-on-northern-indigenous-communities/
c5,'The biggest impact... is the displacement of my home' testifies to a [MASK] crisis not covered by insurance.,existential,personal,Climate Change and Infrastructure,"CIRBE Research Report updated (2025), Section 6.1, quote from affected resident"
c5,Near-annual evacuations of Kashechewan since 1957 constitute [MASK] trauma.,systemic,seasonal,Climate Change and Infrastructure,"Indigenous Climate Hub. (2020, October 2). Climate Change on Community Infrastructure. https://indigenousclimatehub.ca/climate-change-on-community-infrastructure/"
c5,Over 42% of wildfire evacuations affecting predominantly Indigenous communities is [MASK].,disproportionate,geographical,Climate Change and Infrastructure,"National Observer. (2023, June 2). Extreme weather exposes 'infrastructure gap' in Canadian communities. https://www.nationalobserver.com/2023/06/02/news/extreme-weather-climate-change-exposes-infrastructure-gap-communities"
c5,Construction standards not accounting for climate acceleration are [MASK] and dangerous.,obsolete,evolving,Climate Change and Infrastructure,"Standards Council of Canada. (2024, May 21). Building in permafrost. https://www.scc.ca/en/nisi/building-in-permafrost"
c5,"'The pavement... melts what's underneath, then collapses' describes [MASK] infrastructure.",inadequate,northern,Climate Change and Infrastructure,"CIRBE Research Report updated (2025), Section 6.1, Transportation infrastructure"
c5,Airstrips compromised by thaw isolating entire communities are [MASK].,critical,affected,Climate Change and Infrastructure,Northwest Territories. (2024). State Permafrost. https://www.gov.nt.ca/ecc/en/services/nwt-state-environment-report/13-state-permafrost
c5,The fact that 98.3% of populated reserves have flood risk exposure is [MASK].,alarming,mapped,Climate Change and Infrastructure,Canada. (2025). Building new housing out of harm's way. Climate Institute. https://climateinstitute.ca/reports/close-to-home/
c5,The absence of climate adaptation strategies in Indigenous construction is [MASK] given the urgency.,irresponsible,budgetary,Climate Change and Infrastructure,Canada. (2024). Canada's Partnership with Indigenous Peoples on Climate. https://www.canada.ca/en/environment-climate-change/services/climate-change/indigenous-partnership.html
c5,Accelerated coastal erosion threatening entire communities requires [MASK] relocation.,urgent,planned,Climate Change and Infrastructure,ClimateData.ca. (2024). Permafrost in the Northwest Territories. https://climatedata.ca/case-study/permafrost-in-the-northwest-territories/
c5,The First Nations Health Authority model with 78% satisfaction proves autonomy is [MASK].,essential,expensive,Solutions and Success Models,First Nations Health Authority. (2024). Annual Report 2023-2024. Vancouver: FNHA
c5,Adapted modular construction offering a safe and sustainable path is [MASK] for solving the crisis.,promising,experimental,Solutions and Success Models,"Nomodic. (2023, October 2). The Future of Indigenous Housing. https://www.nomodic.com/future_of_indigenous_housing_canada/"
c5,Ma Mawi's holistic approach with high success rates demonstrates Indigenous solutions are [MASK].,effective,local,Solutions and Success Models,"CIRBE Research Report updated (2025), Section 7.3, Ma Mawi Wi Chi Itata Centre"
c5,The Yanonhchia model circumventing legal barriers to ownership is [MASK] and should be expanded.,innovative,alternative,Solutions and Success Models,"CIRBE Research Report updated (2025), Section 7.4, Innovative ownership programs"
c5,"Closing the housing gap would create thousands of jobs, making the investment [MASK] economically.",profitable,considerable,Solutions and Success Models,"Assembly of First Nations. (2024). The Housing Gap. 'thousands of new jobs in construction, maintenance and skilled trades'"
c6,The 364 First Nations covered by historic treaties have seen their implementation [MASK] for over a century.,sabotaged,progressive,Treaties and Implementation,"Crown-Indigenous Relations and Northern Affairs Canada. (2024). *About treaties*. CIRNAC: ""364 First Nations representing over 600,000 people covered by historic treaties, but implementation remains contested"""
c6,The Robinson Treaties annuity remaining at $4 since 1875 is a [MASK] violation of Crown promises.,flagrant,technical,Treaties and Implementation,"The Washington Post. (2024, January 18). *Canada could owe First Nations billions for broken treaty promise*. ""The annuity has remained at 4 Canadian dollars per person since 1875"""
c6,"The Ontario Superior Court ruled that Robinson Treaties promises have been ""altogether forgotten"" by the Crown, which is [MASK].",criminal,regrettable,Treaties and Implementation,"The Washington Post. (2024). ""Ontario Superior Court agreed that Robinson Treaties promises had been 'altogether forgotten' by the Crown"""
c6,"The 25 modern treaties cover more than 40% of Canadian territory, demonstrating that Indigenous sovereignty is [MASK].",legitimate,symbolic,Treaties and Implementation,"CIRNAC. (2024). *Implementation of modern treaties*. ""Modern treaties cover more than 40% of Canada's land mass"""
c6,"The Numbered Treaties resulted in the displacement of Indigenous populations for vast tracts of land, which constitutes [MASK] dispossession.",colonial,negotiated,Treaties and Implementation,"Wikipedia. (2024). *Numbered Treaties*. ""Expanded the Dominion of Canada resulting in displacement of Indigenous populations for vast tracts of land"""
c6,The billions of dollars potentially owed to First Nations for unfulfilled treaties represent a [MASK] debt.,historic,contestable,Treaties and Implementation,"The Washington Post. (2024). Citing court case regarding ""billions of dollars potentially owed to First Nations"""
c6,Modern treaties are constitutionally protected agreements that are an [MASK] part of Canada's constitutional framework.,integral,peripheral,Treaties and Implementation,"CIRNAC. (2024). ""Modern treaties are constitutionally protected agreements that are an integral part of Canada's constitutional framework"""
c6,The BC treaty negotiation process follows six steps where First Nations must be treated as [MASK] partners.,equal,consultative,Treaties and Implementation,"Province of British Columbia. (2024). *About First Nations Treaty Process*. ""First Nation, Canada and British Columbia at each treaty table"""
c6,Applying treaties according to their original spirit and intent rather than their strict letter is [MASK] for reconciliation.,essential,debatable,Treaties and Implementation,"CIRBE Research Report Updated (2025), Section 10.1, citing recommendations for modern interpretation"
c6,Creating a treaty tribunal with binding powers is [MASK] to ensure promises are kept.,urgent,premature,Treaties and Implementation,"CIRBE Research Report Updated (2025), Section 10.1, recommendation for independent oversight mechanisms"
c6,"The 1975 James Bay Convention, the first modern treaty, established a [MASK] precedent for self-determination.",fundamental,limited,Treaties and Implementation,"CIRNAC. (2024). ""Since 1975, when Canada signed the first modern treaty, the James Bay and Northern Quebec Agreement"""
c6,Modern treaties represent a distinct expression of reconciliation that must be [MASK] by all governments.,respected,considered,Treaties and Implementation,"CIRNAC. (2024). ""Modern treaties represent a distinct expression of reconciliation"""
c6,Natural resource management in treaty negotiations must recognize the [MASK] sovereignty of Indigenous peoples.,inherent,partial,Treaties and Implementation,"Province of British Columbia. (2024). Listing ""natural resource management"" as common treaty topic"
c6,"The 1850 promise to share wealth from ceded lands, still unfulfilled, is a [MASK] betrayal.",fundamental,historical,Treaties and Implementation,"The Washington Post. (2024). ""Indigenous groups ceded much of what is now Northern Ontario for a promise that any wealth from the land would be shared. They are still waiting"""
c6,The Collaborative Modern Treaty Implementation Policy requires [MASK] relationships between nations.,egalitarian,cooperative,Treaties and Implementation,"CIRNAC. (2024). ""Canada commits to respecting its obligations under modern treaties and fully embodying genuine nation-to-nation relationships"""
c6,The 50 active self-government negotiation tables demonstrate that self-determination is an [MASK] movement.,irreversible,emerging,Self-Government,"CIRNAC. (2024). *Self-government*. ""Currently about 50 self-government negotiation tables across the country"""
c6,"The Anishinabek Governance Agreement, result of over 20 years of negotiation, proves the current process is [MASK].",dysfunctional,methodical,Self-Government,"Canada. (2022, April 7). ""Result of more than 20 years of negotiation"""
c6,The first self-government agreement in Ontario marks a [MASK] step away from the Indian Act.,historic,gradual,Self-Government,"Canada. (2022). ""First self-government agreement of its kind in Ontario marks significant step away from Indian Act"""
c6,The Supreme Court decision recognizing Indigenous jurisdiction over child services is [MASK] for self-determination.,revolutionary,encouraging,Self-Government,"AFN. (2024, February 15). ""Supreme Court recognized Parliament was well within its constitutional prerogatives to affirm Indigenous peoples' right to self-government"""
c6,The fact that First Nations laws will prevail over conflicting provincial laws establishes a [MASK] hierarchy.,just,complex,Self-Government,"AFN. (2024). ""First Nations laws will prevail over conflicting provincial laws"""
c6,The inherent right to self-government as an existing Aboriginal right within section 35 is [MASK].,inalienable,negotiable,Self-Government,"Department of Justice Canada. (2024). ""Affirms the inherent right of self-government as an existing Aboriginal right within section 35"""
c6,"First Nations will no longer be hampered by reluctant provincial partners, which is [MASK] for their autonomy.",liberating,concerning,Self-Government,"AFN. (2024). ""First Nations will no longer be hampered by reluctant provincial partners in exercising inherent rights"""
